498658,7417,tianjin,tianjin,1583515885
153184,8136,guangdong,xian,1583508990
660884,6127,guangdong,tianjin,1583515723
402206,2754,guangdong,shenzhen,1583510463
845037,5118,shanghai,beijing,1583507882
452753,9657,guangdong,beijing,1583509254
240777,1325,beijing,tianjin,1583511543
590011,9975,shanxi,tianjin,1583511423
706703,1116,shanxi,guangzhou,1583511161
912011,7755,beijing,tianjin,1583510079
393473,4761,shanxi,beijing,1583511162
555177,9250,beijing,shenzhen,1583512112
947062,2701,beijing,guangzhou,1583510657
427490,6171,shanghai,shenzhen,1583515258
840980,1646,tianjin,beijing,1583514996
956534,8551,shanghai,guangzhou,1583515706
975824,5060,tianjin,tianjin,1583507368
757055,3613,guangdong,zhongshan,1583515062
714708,7754,shanghai,guangzhou,1583508245
910645,5882,shanxi,beijing,1583508298
193912,5195,guangdong,shenzhen,1583514890
928798,3867,guangdong,tianjin,1583508150
459530,7577,shanxi,tianjin,1583511316
339781,3816,shanxi,xian,1583509436
332936,5908,guangdong,shenzhen,1583513229
599679,9407,beijing,tianjin,1583515126
900565,5134,guangdong,tianjin,1583510012
478420,7756,tianjin,beijing,1583509713
156810,5818,beijing,beijing,1583508956
512718,1786,shanghai,tianjin,1583514883
502764,8996,shanxi,shenzhen,1583514630
249605,7829,guangdong,beijing,1583515187
318078,9611,shanghai,xian,1583514769
126594,4318,shanxi,shenzhen,1583508804
178386,9376,beijing,xian,1583511696
847485,9553,guangdong,beijing,1583516376
386552,4984,shanghai,guangzhou,1583514698
816464,9829,shanghai,beijing,1583508416
922423,7354,tianjin,tianjin,1583514251
487362,9669,shanghai,tianjin,1583509708
892804,7986,shanxi,beijing,1583509331
769820,8486,shanghai,beijing,1583508103
481072,5572,shanxi,shenzhen,1583515924
209580,4793,shanghai,guangzhou,1583514953
954129,1716,shanghai,beijing,1583510817
326243,1983,beijing,zhongshan,1583513067
883321,6989,beijing,zhongshan,1583509897
448584,5764,beijing,tianjin,1583508425
275525,9587,tianjin,xian,1583512627
734848,9598,tianjin,zhongshan,1583512774
190727,7516,shanghai,beijing,1583512905
703471,5849,shanghai,shenzhen,1583516449
143290,6607,shanxi,tianjin,1583507134
228269,1898,shanxi,zhongshan,1583508436
545467,6620,shanxi,zhongshan,1583513581
471363,6200,guangdong,beijing,1583512348
953804,4387,guangdong,shenzhen,1583516207
537009,6093,shanghai,shenzhen,1583514510
921748,8227,tianjin,shenzhen,1583512048
729938,6187,shanghai,shenzhen,1583510263
345069,8837,beijing,beijing,1583507668
292978,8338,shanxi,shenzhen,1583512404
810632,4509,beijing,shenzhen,1583510615
980430,3530,guangdong,xian,1583508162
723606,1751,shanxi,beijing,1583508496
596047,9472,shanghai,tianjin,1583512238
793381,9384,guangdong,tianjin,1583515785
587453,6352,beijing,shenzhen,1583512909
104257,9737,shanghai,zhongshan,1583515930
542457,7987,guangdong,xian,1583509959
583380,3809,shanxi,guangzhou,1583514917
776943,7560,shanxi,beijing,1583515002
705499,2212,shanxi,tianjin,1583510742
338892,1231,shanxi,beijing,1583516326
741723,8204,shanxi,shenzhen,1583516624
278575,9191,beijing,beijing,1583511326
667830,1400,shanxi,beijing,1583511406
151066,8123,shanghai,xian,1583516433
996546,4581,beijing,tianjin,1583508471
323972,6628,shanxi,xian,1583509484
187809,6555,tianjin,shenzhen,1583512150
160634,1900,tianjin,guangzhou,1583512331
921173,9226,shanxi,tianjin,1583507219
737031,6814,tianjin,guangzhou,1583507523
485334,2855,beijing,guangzhou,1583509255
329266,3654,shanxi,zhongshan,1583515768
851166,4987,tianjin,beijing,1583514678
577698,3876,guangdong,shenzhen,1583510765
346728,3689,beijing,shenzhen,1583511388
393708,4698,tianjin,guangzhou,1583513128
245345,2538,guangdong,xian,1583513487
825520,8791,tianjin,beijing,1583515441
611216,5276,guangdong,tianjin,1583510416
840655,9014,tianjin,beijing,1583515723
820866,7162,shanghai,shenzhen,1583515776
514302,6997,tianjin,tianjin,1583512590
193373,4834,beijing,zhongshan,1583510523
435275,3305,shanxi,guangzhou,1583514553
